Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,TRB%,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
112.0,Cornell Warner,24.0,CLE,C,68.0,,1323.0,11.8,0.44,0.218,18.6,6.7,-0.5,2.2,1.7,0.06,,1973,False
113.0,Bill Hewitt,28.0,BUF,PF,73.0,,1332.0,9.8,0.435,0.203,12.9,10.6,-0.5,0.4,-0.1,-0.005,,1973,False
114.0,Larry Steele,23.0,POR,SG,66.0,,1301.0,10.2,0.528,0.271,5.7,15.2,1.5,0.4,1.9,0.07,,1973,False
115.0,Willie Norwood,25.0,DET,SF,79.0,,1282.0,15.8,0.541,0.446,12.3,6.0,2.7,1.0,3.8,0.141,,1973,False
116.0,Johnny Green,39.0,KCO,PF,66.0,,1245.0,14.6,0.626,0.413,15.1,6.2,3.5,0.1,3.7,0.141,,1973,False
117.0,Don Kojis,34.0,KCO,SF,77.0,,1240.0,14.8,0.518,0.238,8.3,9.3,2.1,0.1,2.2,0.084,,1973,False
118.0,Bud Stallworth,23.0,SEA,SF,77.0,,1225.0,9.3,0.421,0.218,8.7,6.7,-1.3,0.4,-0.9,-0.036,ROY-5,1973,False
119.0,Dave Stallworth,31.0,BAL,SF,73.0,,1217.0,11.7,0.457,0.232,9.1,11.8,0.0,1.7,1.7,0.065,,1973,False
120.0,Kevin Porter,22.0,BAL,PG,71.0,,1217.0,12.4,0.476,0.224,2.8,25.7,0.7,1.6,2.3,0.089,,1973,False
121.0,Kenny McIntosh,24.0,2TM,SF,59.0,,1138.0,6.1,0.364,0.196,9.7,6.2,-2.0,0.4,-1.6,-0.068,,1973,False
121.0,Kenny McIntosh,24.0,CHI,SF,3.0,,33.0,16.9,0.576,0.154,13.6,4.8,0.1,0.1,0.2,0.225,,1973,False
121.0,Kenny McIntosh,24.0,SEA,SF,56.0,,1105.0,5.8,0.356,0.198,9.6,6.2,-2.1,0.4,-1.8,-0.077,,1973,False
122.0,Dale Schlueter,27.0,PHI,C,78.0,10.0,1136.0,15.3,0.563,0.388,13.9,12.4,2.2,0.8,3.0,0.126,,1973,False
123.0,Barry Clemens,29.0,CLE,SF,72.0,,1119.0,14.9,0.541,0.168,9.1,15.2,2.2,1.3,3.5,0.15,,1973,False
124.0,Jim McDaniels,24.0,SEA,C,68.0,,1095.0,12.0,0.44,0.259,15.0,9.7,-0.5,0.5,0.0,0.001,,1973,False
