Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
55.0,Johnny Green,32.0,NYK,PF,7.0,208.0,16.9,0.545,0.392,7.4,0.5,0.1,0.5,0.121,,1966,False
55.0,Johnny Green,32.0,BAL,PF,72.0,1437.0,19.7,0.548,0.606,9.3,3.8,1.3,5.1,0.171,,1966,False
56.0,Johnny Egan,27.0,2TM,PG,76.0,1644.0,13.7,0.513,0.395,21.4,2.5,1.1,3.6,0.104,,1966,False
56.0,Johnny Egan,27.0,NYK,PG,7.0,58.0,10.4,0.417,0.625,28.8,0.0,0.0,0.0,-0.003,,1966,False
56.0,Johnny Egan,27.0,BAL,PG,69.0,1586.0,13.8,0.516,0.389,21.1,2.5,1.0,3.6,0.108,,1966,False
57.0,John Barnhill,27.0,2TM,PG,76.0,1617.0,10.8,0.436,0.304,16.3,-0.3,1.5,1.1,0.034,,1966,False
57.0,John Barnhill,27.0,STL,PG,31.0,691.0,11.8,0.466,0.354,16.5,0.3,0.5,0.9,0.059,,1966,False
57.0,John Barnhill,27.0,DET,PG,45.0,926.0,10.0,0.415,0.27,16.2,-0.7,0.9,0.3,0.015,,1966,False
58.0,Jim King,24.0,LAL,PG,76.0,1499.0,11.8,0.479,0.211,19.2,1.1,1.2,2.3,0.073,,1966,False
59.0,McCoy McLemore,23.0,SFW,SF,80.0,1467.0,12.6,0.484,0.362,4.9,1.1,1.7,2.7,0.09,,1966,False
60.0,Willie Naulls,31.0,BOS,SF,71.0,1433.0,12.5,0.435,0.161,7.4,-0.7,2.5,1.8,0.059,,1966,False
61.0,Darrall Imhoff,27.0,LAL,C,77.0,1413.0,10.8,0.478,0.404,9.7,0.7,1.5,2.1,0.072,,1966,False
62.0,Gene Wiley,28.0,LAL,C,67.0,1386.0,8.9,0.448,0.263,5.4,0.0,1.3,1.3,0.045,,1966,False
63.0,Al Bianchi,33.0,PHI,PG,78.0,1312.0,7.1,0.41,0.175,13.0,-1.2,1.4,0.2,0.006,,1966,False
64.0,Gus Johnson,27.0,BAL,SF,41.0,1284.0,17.4,0.458,0.269,12.3,0.4,1.3,1.6,0.06,NBA2,1966,False
65.0,Bob Ferry,28.0,BAL,C,66.0,1229.0,12.3,0.457,0.344,11.6,0.3,0.9,1.2,0.047,,1966,False
66.0,Chico Vaughn,25.0,2TM,PG,56.0,1219.0,10.3,0.437,0.304,15.3,-0.2,1.0,0.8,0.031,,1966,False
66.0,Chico Vaughn,25.0,STL,PG,19.0,445.0,10.0,0.433,0.323,11.3,-0.2,0.3,0.1,0.01,,1966,False
66.0,Chico Vaughn,25.0,DET,PG,37.0,774.0,10.5,0.44,0.291,17.6,-0.1,0.8,0.7,0.044,,1966,False
67.0,Em Bryant,27.0,NYK,PG,71.0,1193.0,13.1,0.505,0.225,24.3,1.6,0.3,2.0,0.079,,1966,False
68.0,Tom Gola,33.0,NYK,SG,74.0,1127.0,12.2,0.514,0.387,20.8,1.3,0.4,1.7,0.071,,1966,False
69.0,Jim Washington,22.0,STL,PF,65.0,1104.0,10.0,0.431,0.305,5.3,-0.5,1.0,0.5,0.023,,1966,False
70.0,Dave Gambee,28.0,PHI,SF,72.0,1068.0,12.6,0.477,0.428,8.4,0.8,1.4,2.2,0.101,,1966,False
71.0,Mel Counts,24.0,BOS,C,67.0,1021.0,16.4,0.459,0.264,7.1,0.3,2.6,2.9,0.137,,1966,False
72.0,Gail Goodrich,22.0,LAL,SG,65.0,1008.0,11.9,0.448,0.296,13.9,0.0,0.7,0.7,0.031,,1966,False
73.0,Ron Reed,23.0,DET,PF,57.0,997.0,11.6,0.375,0.191,12.8,-2.3,1.4,-0.8,-0.039,,1966,False
74.0,John Tresvant,26.0,2TM,PF,61.0,969.0,16.8,0.5,0.475,10.3,1.4,1.3,2.7,0.136,,1966,False
74.0,John Tresvant,26.0,STL,PF,15.0,213.0,16.8,0.548,0.41,6.6,0.5,0.2,0.7,0.166,,1966,False
74.0,John Tresvant,26.0,DET,PF,46.0,756.0,16.8,0.489,0.491,11.3,0.9,1.1,2.0,0.128,,1966,False
75.0,Jerry Sloan,23.0,BAL,SG,59.0,952.0,11.1,0.483,0.481,14.3,0.7,0.7,1.4,0.072,,1966,False
76.0,Jack Twyman,31.0,CIN,SF,73.0,943.0,14.6,0.494,0.235,9.1,1.3,0.6,1.8,0.094,,1966,False
77.0,Barry Clemens,22.0,NYK,SF,70.0,877.0,10.7,0.442,0.199,10.3,-0.2,0.2,0.1,0.003,,1966,False
78.0,Gary Phillips,26.0,SFW,SG,67.0,867.0,8.2,0.39,0.287,16.2,-1.0,0.9,-0.1,-0.006,,1966,False
79.0,Jon McGlocklin,22.0,CIN,SG,72.0,852.0,12.1,0.463,0.218,13.6,0.3,0.5,0.9,0.049,,1966,False
80.0,Gerry Ward,24.0,PHI,SG,66.0,838.0,4.1,0.402,0.317,11.0,-0.5,0.9,0.4,0.022,,1966,False
81.0,Don Kojis,27.0,DET,SF,60.0,783.0,15.4,0.439,0.321,8.0,-0.3,1.0,0.7,0.044,,1966,False
82.0,Connie Dierking,29.0,CIN,C,57.0,782.0,11.6,0.444,0.255,7.2,-0.1,0.6,0.5,0.031,,1966,False
83.0,Gene Tormohlen,28.0,STL,C,71.0,775.0,15.4,0.475,0.253,11.2,0.5,0.9,1.4,0.088,,1966,False
84.0,Ben Warley,29.0,2TM,SF,57.0,773.0,9.6,0.453,0.342,4.1,0.0,0.5,0.6,0.034,,1966,False
84.0,Ben Warley,29.0,PHI,SF,1.0,6.0,5.2,0.333,0.0,0.0,0.0,0.0,0.0,-0.091,,1966,False
84.0,Ben Warley,29.0,BAL,SF,56.0,767.0,9.6,0.454,0.345,4.2,0.1,0.5,0.6,0.035,,1966,False
85.0,Fred Hetzel,23.0,SFW,SF,56.0,722.0,13.9,0.434,0.229,5.3,-0.4,0.9,0.5,0.034,,1966,False
86.0,Bill Buntin,23.0,DET,C,42.0,713.0,13.3,0.448,0.478,6.8,0.0,0.9,0.9,0.062,,1966,False
87.0,Keith Erickson,21.0,SFW,SF,64.0,646.0,8.3,0.394,0.243,7.6,-0.9,0.7,-0.2,-0.016,,1966,False
88.0,Bud Olsen,25.0,2TM,PF,59.0,602.0,9.5,0.434,0.456,4.2,-0.2,0.6,0.4,0.035,,1966,False
88.0,Bud Olsen,25.0,CIN,PF,4.0,36.0,8.1,0.376,0.375,6.5,0.0,0.0,0.0,-0.006,,1966,False
88.0,Bud Olsen,25.0,SFW,PF,55.0,566.0,9.6,0.436,0.459,4.0,-0.2,0.6,0.4,0.037,,1966,False
89.0,Jeff Mullins,23.0,STL,SG,44.0,587.0,9.9,0.409,0.122,16.4,-0.7,0.4,-0.3,-0.021,,1966,False
90.0,Paul Silas,22.0,STL,PF,46.0,586.0,11.4,0.438,0.353,4.9,-0.1,0.6,0.5,0.04,,1966,False
91.0,Len Chappell,25.0,NYK,PF,46.0,545.0,11.2,0.452,0.328,6.4,0.0,0.1,0.1,0.013,,1966,False
92.0,Woody Sauldsberry,31.0,BOS,PF,39.0,530.0,4.6,0.331,0.088,3.7,-1.8,1.0,-0.8,-0.072,,1966,False
93.0,Tom Thacker,26.0,CIN,PG,50.0,478.0,10.3,0.409,0.184,16.8,-0.4,0.4,0.0,-0.004,,1966,False
94.0,Wayne Hightower,26.0,BAL,PF,24.0,460.0,10.6,0.415,0.419,9.5,-0.4,0.3,0.0,-0.003,,1966,False
95.0,Ron Bonham,23.0,BOS,SG,39.0,312.0,13.1,0.436,0.295,5.3,-0.2,0.4,0.2,0.028,,1966,False
96.0,Donnie Butcher,29.0,DET,PG,15.0,285.0,10.7,0.487,0.354,14.1,0.3,0.3,0.5,0.088,,1966,False
97.0,George Wilson,23.0,CIN,C,47.0,276.0,12.4,0.431,0.304,8.3,-0.1,0.2,0.1,0.015,,1966,False
98.0,John Fairchild,22.0,LAL,SF,30.0,171.0,3.9,0.307,0.225,8.0,-0.7,0.1,-0.6,-0.166,,1966,False
99.0,Art Heyman,24.0,2TM,,17.0,120.0,7.7,0.405,0.423,11.6,-0.1,0.1,0.0,-0.02,,1966,False
99.0,Art Heyman,24.0,CIN,,11.0,100.0,6.3,0.396,0.395,8.9,-0.1,0.1,-0.1,-0.042,,1966,False
99.0,Art Heyman,24.0,PHI,,6.0,20.0,14.7,0.446,0.556,25.1,0.0,0.0,0.0,0.088,,1966,False
100.0,Willie Somerset,23.0,BAL,PG,8.0,98.0,10.2,0.47,0.256,12.2,0.1,0.1,0.1,0.056,,1966,False
101.0,Si Green,32.0,BOS,,10.0,92.0,7.5,0.421,0.516,12.6,-0.1,0.1,0.1,0.048,,1966,False
102.0,Mike Farmer,29.0,STL,SF,9.0,79.0,11.6,0.466,0.167,10.6,0.0,0.1,0.1,0.059,,1966,False
103.0,Bob Warlick,24.0,DET,SG,10.0,78.0,5.9,0.295,0.158,16.8,-0.3,0.1,-0.2,-0.145,,1966,False
104.0,John Thompson,24.0,BOS,C,10.0,72.0,14.8,0.49,0.2,5.8,0.1,0.2,0.3,0.169,,1966,False
105.0,Bob Weiss,23.0,PHI,,7.0,30.0,3.5,0.333,0.0,15.7,-0.1,0.0,0.0,-0.01,,1966,False
106.0,Thales McReynolds,22.0,BAL,,5.0,28.0,-3.3,0.116,0.167,4.0,-0.2,0.0,-0.2,-0.356,,1966,False
107.0,Gary Bradds,23.0,BAL,SF,3.0,15.0,18.0,0.451,0.667,8.3,0.0,0.0,0.0,0.057,,1966,False
108.0,Jesse Branson,24.0,PHI,SF,5.0,14.0,10.3,0.322,0.667,8.1,-0.1,0.0,0.0,-0.06,,1966,False
109.0,Jay Arnette,27.0,CIN,,3.0,14.0,-9.0,0.167,0.0,0.0,-0.1,0.0,-0.1,-0.301,,1966,False
110.0,Will Frazier,23.0,SFW,PF,2.0,9.0,0.5,0.102,0.5,12.0,-0.1,0.0,-0.1,-0.385,,1966,False
111.0,Ron Watts,22.0,BOS,,1.0,3.0,24.8,0.5,0.0,58.1,0.0,0.0,0.0,0.29,,1966,False
,League Average,,,,,,,0.487,0.361,13.0,,,,,,1966,False
