Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,season,is_playoff
213.0,Joe Reaves,23.0,PHO,SF,7.0,,38.0,10.8,0.505,1.0,5.4,15.8,10.7,3.5,0.0,2.7,0.0,0.0,0.0,-0.013,-4.0,-0.3,-4.3,0.0,,1974,False
214.0,Chuck Terry,23.0,MIL,SF,7.0,,32.0,7.0,0.333,0.0,3.4,6.0,4.8,15.3,2.8,0.0,-0.1,0.0,0.0,-0.046,-4.4,0.1,-4.3,0.0,,1974,False
215.0,Paul McCracken,23.0,HOU,SG,4.0,,13.0,6.1,0.25,0.0,8.3,40.7,24.7,18.7,0.0,0.0,-0.1,0.0,0.0,-0.152,-4.8,-0.1,-4.9,0.0,,1974,False
216.0,Jim Garvin,23.0,BUF,PF,6.0,,11.0,3.9,0.25,0.0,9.3,35.2,22.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.134,-4.7,-0.3,-5.0,0.0,,1974,False
217.0,Allie McGuire,22.0,NYK,SG,2.0,,10.0,10.3,0.5,0.0,0.0,21.0,10.5,14.7,0.0,0.0,0.0,0.0,0.0,0.029,-4.5,0.0,-4.5,0.0,,1974,False
218.0,Tom Patterson,25.0,CAP,SF,2.0,,8.0,11.0,0.266,2.0,11.7,12.1,11.9,28.3,0.0,0.0,0.0,0.0,0.0,-0.056,-4.3,0.0,-4.3,0.0,,1974,False
219.0,Travis Grant,24.0,LAL,SF,3.0,,6.0,-1.5,0.282,0.75,0.0,14.6,7.6,0.0,0.0,0.0,-0.1,0.0,0.0,-0.386,-5.0,-0.3,-5.3,0.0,,1974,False
220.0,Mike Ratliff,22.0,KCO,C,2.0,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017,-4.6,-0.1,-4.6,0.0,,1974,False
221.0,Dennis Bell,22.0,NYK,SF,1.0,,4.0,-6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.222,-4.7,-0.1,-4.8,0.0,,1974,False
222.0,Justus Thigpen,26.0,KCO,SG,1.0,,2.0,20.6,0.333,0.0,52.4,0.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.078,-4.6,-0.2,-4.8,0.0,,1974,False
,League Average,,,,,,,,0.503,0.27,6.1,13.9,10.0,14.4,1.6,1.0,,,,,,,,,,1974,False
